Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
2018-1,305.00,63.00,NO
2018-1,315.00,63.00,NO
2018-1,314.00,62.95,NO
2018-1,309.00,62.95,NO
2018-1,308.00,62.95,NO
2018-1,308.00,62.95,NO
2018-1,311.00,62.90,NO
2018-1,319.00,62.90,NO
2018-1,319.00,62.90,NO
2018-1,318.00,62.85,NO
2018-1,305.00,62.85,NO
2018-1,309.00,62.85,NO
2018-1,310.00,62.85,NO
2018-1,315.00,62.85,NO
2018-1,312.00,62.80,NO
2018-1,318.00,62.80,NO
2018-1,304.00,62.80,NO
2018-1,309.00,62.80,NO
2018-1,312.00,62.75,NO
2018-1,317.00,62.75,NO
2018-1,308.00,62.75,NO
2018-1,313.00,62.75,NO
2018-1,307.00,62.75,NO
2018-1,310.00,62.70,NO
2018-1,298.00,62.70,NO
2018-1,313.00,62.70,NO
2018-1,320.00,62.70,NO
2018-1,320.00,62.65,NO
2018-1,315.00,62.65,NO
2018-1,308.00,62.65,NO
2018-1,316.00,62.65,NO
2018-1,308.00,62.65,NO
2018-1,320.00,62.65,NO
2018-1,317.00,62.65,NO
2018-1,309.00,62.65,NO
2018-1,315.00,62.65,NO
2018-1,314.00,62.65,NO
2018-1,309.00,62.60,NO
2018-1,308.00,62.60,NO
2018-1,311.00,62.60,NO
2018-1,304.00,62.60,NO
2018-1,318.00,62.60,NO
2018-1,314.00,62.60,NO
2018-1,295.00,62.60,NO
2018-1,328.00,62.60,NO
2018-1,311.00,62.55,NO
2018-1,320.00,62.55,NO
2018-1,318.00,62.55,NO
2018-1,313.00,62.55,NO
2018-1,307.00,62.55,NO
2018-1,322.00,62.55,NO
2018-1,308.00,62.50,NO
2018-1,315.00,62.50,NO
2018-1,307.00,62.50,NO
2018-1,315.00,62.50,NO
2018-1,312.00,62.50,NO
2018-1,314.00,62.50,NO
2018-1,303.00,62.50,NO
2018-1,308.00,62.50,NO
2018-1,311.00,62.45,NO
2018-1,299.00,62.45,NO
